Business Id,Reviewer Name,Rating,Text,Time Created
dh5r9-SbN8xJ76XvnayWLQ,Ash C.,5,"Discovered this place during the pandemic and if delivery is this good, I can't wait to try it in person.

Flavorful dishes that comes in piping hot and...",2021-02-08
dh5r9-SbN8xJ76XvnayWLQ,Grey M.,5,We enjoyed a COVID dinner here.  We dined in a heated wooden COVID shelter out back.  As a side note as we walked through the interior to get to the back it...,2021-01-23
dh5r9-SbN8xJ76XvnayWLQ,Tiffany L.,5,"Thoroughly enjoyed my dinner here & felt quite safe during COVID-19 times! My cousin recommended Giano to me, and I finally got a chance to go! Definitely...",2020-09-18
Vs8kQ4R381y27AH018gLpg,nyc e.,4,"Covid era delivery review: I used to come here back in the day and their food was always delicious and filling, their space cozy and inviting. Tonight as we...",2020-11-23
Vs8kQ4R381y27AH018gLpg,Kris Y.,4,"This review is for take-out only given current COVID-19 circumstances.

Overall: 4.25/5
Food: 4.25/5
Value: 4/5
Presentation: 4.5/5

We got the Spaghetti Al...",2020-08-23
Vs8kQ4R381y27AH018gLpg,Karen B.,5,"Every single dish, every single time, always delicious!  My husband snd I live in the neighborhood and this is our favorite fine dining restaurant.  The...",2020-12-23
WG639VkTjmK5dzydd1BBJA,Sumana K.,5,"The key is to eat this pizza FRESH, piping hot from the oven. I had Rubirosa for the first time as take out but I wasn't too impressed and honestly...",2021-02-14
WG639VkTjmK5dzydd1BBJA,Tina W.,5,"I always want to try Rubirosa pizza. But how can I finish my pizza myself. 
So I ordered Cavatelli. NO doubt, still too good to be true. cant stop eating...",2020-12-26
WG639VkTjmK5dzydd1BBJA,Akash J.,5,Easily one of the best places in the city to sit down for pizza and drinks. I used to bring anyone visiting New York here for pizza (whenever I could manage...,2021-01-03
rp8S7scxOkVVeG7dNneMGQ,Kristina S.,5,"Wanted to give props to the amazing job L'Artusi is doing with their ""Dinner Packs.""  We got a pack for a group of four of us, reheated and ate it ~3 hours...",2021-01-20
rp8S7scxOkVVeG7dNneMGQ,Woolie T.,5,"L'Artusi is absolutely unreal -- even during a pandemic, they continue to serve up bomb AF foods to-go. 

Over the weekend, we ordered ahead through...",2021-01-10
rp8S7scxOkVVeG7dNneMGQ,Kendra E.,5,"I do not joke with Lartusi. I usually make tons of reservations here like it's my private kitchen/dining room. But let me tell you, this truly is the best...",2020-12-16
yZJbealagfujEkgesAl2hA,Nancy K.,5,A beautiful NYC Italian restaurant experience even during Covid! I felt safe and the staff were so friendly! Not to mention the clam linguine and the rabbit...,2020-10-11
yZJbealagfujEkgesAl2hA,Bill S.,5,"Del Posto light would be a term that I'd like to describe Lupa except I've never been to Del Posto. (Del Posto is on my bucket list) 

We're trying to get...",2020-10-18
yZJbealagfujEkgesAl2hA,Alice W.,3,Got this place out for takeout during restaurant week. The reviews looked really good so I was very excited. ordered an item off of the restaurant week and...,2021-02-15
J0OeDwmh5JBhid0A5GvltA,Judy L.,5,"One of my favorite spot for pasta and Italian food. Small cozy spot back alley of soho on prince street near Thompson. 

They currently have outdoor dining...",2020-11-14
J0OeDwmh5JBhid0A5GvltA,Hannah M.,5,Ordered a lunch special the other day and was pretty impressed with the food! I had the tortellini with the soup as an appetizer and added on the sausage...,2020-11-09
J0OeDwmh5JBhid0A5GvltA,Kristina N.,5,"Don't sleep on this pasta spot. They offer a wide selection of pastas which include fresh made, so many sauces, a variety of combinations (protein and veg)...",2020-10-18
qBGKigOGn_flCx1apxPzlA,Jing K.,5,An excellent choice for classic real italian cuisine not american italian. Ordered the lamb ragu and squid ink pasta and both were phenomenal. Frito misto...,2020-11-27
qBGKigOGn_flCx1apxPzlA,Francesca B.,5,ITALIANS DO IT BETTER! I don't know where to start here. This is our favorite place in Manhattan to eat Italian food and have drinks. We were going before...,2020-06-20
qBGKigOGn_flCx1apxPzlA,Michelle P.,5,"We just ordered delivery from Piccola, one of our already favorite Italian places in NYC. My boyfriend and I always loved date nights at this cozy home...",2020-05-18
IErfGS0DASSJfYU73m0Sqg,Jieun L.,5,"I love malatesta trattoria. I've gone several times over the years, but it had been 2 years and change since I've been. My visit was another reminder to...",2020-10-10
IErfGS0DASSJfYU73m0Sqg,David M.,5,"I had taken a trip to Uncle Funky's skateboard shop and upon leaving, inquired about what would be the best nearby Italian place.

I was not steered...",2020-11-02
IErfGS0DASSJfYU73m0Sqg,Natalie K.,5,"I'd been dying to go to Malatesta for the longest time, but could never find anyone who was willing to go so far West and wait who knows how long for a...",2020-10-21
OCTiJwvjoK81WoDwsTkFvA,Tanzie R.,4,I was literally called over by the waiter/host working the restaurant to come over and eat on a Tuesday afternoon. Business is slow on the weekdays...,2021-01-15
OCTiJwvjoK81WoDwsTkFvA,Estefania M.,5,"We came here yesterday based on Yelp reviews 
and the reviews lived up to the hype !  We were very satisfied with everything from the food, staff and the...",2020-10-17
OCTiJwvjoK81WoDwsTkFvA,Julia J.,4,Wonderful adaptability during COVID to provide a comfortable and elegant outdoor dining experience. Tables did not feel crowded together and the volume...,2020-07-26
_N92SH1Zi-Hbxn_bNHFz0Q,Keith K.,5,This restaurant should get 10 stars. It is very rare to go to a restaurant for years and years only to find the food every bit as wonderful as it was the...,2021-01-09
_N92SH1Zi-Hbxn_bNHFz0Q,Natasha P.,5,This place is such a delight. I literal OLD Gem of BROOKLYN. This place should be a historical landmark. I've heard about this restaurant since I was...,2020-04-27
_N92SH1Zi-Hbxn_bNHFz0Q,Steph C.,4,"**CASH ONLY Restaurant ***
The restaurant is small but the decor is lovely. The front is open so fresh air comes through and theres lights hanging from...",2019-09-09
kr5fRwdHtVwPPwSJxm9Fkg,Ferdinand C.,5,"Loved the food here! Worth every penny and bite! 
We went on a cold winter day but their heated lamps and emergency blankets kept us warm so we were...",2020-12-23
kr5fRwdHtVwPPwSJxm9Fkg,Lisa B.,5,"This is my favorite place on earth to eat! It's my Cheers, and the center of my universe in these uncertain times. I would have to agree with Paul on how...",2020-11-20
kr5fRwdHtVwPPwSJxm9Fkg,Emily S.,5,"I love Il Posto Accanto! My boyfriend and I used to live just a few blocks away and this was a regular favorite. It's romantic, reasonably priced, and most...",2021-01-09
DoSU8IPq-Py_YV3kYmXPfQ,Vinay R.,5,"Tre Colori is finally back - now open with upscale outdoor seating, a fun vibe, and the same delicious food and trademark service as before! I saw them open...",2020-09-18
DoSU8IPq-Py_YV3kYmXPfQ,Sophia Yifan W.,5,It is recommended by my friend and I feel it is one of the best Italian restaurant I have ever tried in NY. The Caprese is simple but the cheese is really...,2020-10-03
DoSU8IPq-Py_YV3kYmXPfQ,Xo W.,1,Took my folks here a while back before a show. We spoke Mandarin through our meal (which was edible FWIW). Our waiter came back to review my credit card...,2021-02-03
a4WZUTKn90dOkeY38JHNjQ,Demora F.,5,"I had a great time here and I would definitely recommend. Table for 3 with reservation...I was running late and they were so understanding. 
I love the...",2020-11-08
a4WZUTKn90dOkeY38JHNjQ,Marisa L.,5,I enjoyed this place so much that I went twice in about three weeks. They have an especially beautiful outdoor space and I had less than a five minute wait...,2020-07-19
a4WZUTKn90dOkeY38JHNjQ,Nazia B.,5,I had my birthday dinner with friends here at this this cute little Italian restaurant. They had a beautiful outdoor seating setup which was also COVID...,2020-09-23
-Gc5sTFxoXM3Tiv_dkSJZg,Nicholas C.,4,I had the chance to dine here during COVID time with a friend. We visited during the winter and since the city wasn't allowing indoor dining we were seated...,2021-01-11
